country,errors,grave,misconduct,normal,gt
Afghanistan,3,,,,3
Albania,1,2,,2,5
Algeria,11,35,6,23,75
Angola,1,,,,1
Anguilla,1,,1,,2
Argentina,17,14,9,17,57
Armenia,,5,3,2,10
Aruba,4,,4,,8
Australia,191,148,140,183,662
Austria,23,21,16,29,89
Azerbaijan,1,16,3,2,22
Bahrain,1,6,5,12,24
Bangladesh,36,37,16,8,97
Barbados,,,1,,1
Belarus,10,7,4,2,23
Belgium,44,37,55,32,168
Belize,,,1,1,2
Benin,1,,,1,2
Bermuda,2,,,1,3
Bolivia,1,,2,,3
Bosnia and Herzegovina,,6,1,1,8
Botswana,3,2,3,2,10
Brazil,88,74,84,111,357
Brunei,2,,,1,3
Bulgaria,4,6,1,2,13
Burkina Faso,1,,,1,2
Burundi,3,,,,3
Cambodia,3,,1,2,6
Cameroon,6,6,,7,19
Canada,262,147,150,202,761
Cayman Islands,,1,,,1
Central African Republic,1,1,,,2
Chad,,1,1,,2
Chile,13,11,9,10,43
China,4570,4179,4365,9865,22979
Colombia,17,48,18,9,92
Comoros,,,,1,1
Cook Islands,1,,,,1
Costa Rica,,1,,1,2
Cote d'Ivoire,,,,2,2
Croatia,11,15,10,11,47
Cuba,,2,1,2,5
Cyprus,9,2,4,2,17
Czech Republic,30,25,42,22,119
Democratic Republic of the Congo,3,1,,3,7
Denmark,47,38,38,31,154
Dominica,1,,,,1
Dominican Republic,,,1,,1
East Timor,,1,,,1
Ecuador,4,6,1,2,13
Egypt,177,176,150,43,546
Estonia,2,2,3,,7
Ethiopia,45,21,19,7,92
Fiji,,1,,,1
Finland,33,14,19,24,90
France,218,154,165,200,737
French Polynesia,,,,1,1
Gabon,1,6,,1,8
Gambia,1,,1,,2
Gaza Strip,,,1,,1
Georgia,6,2,1,2,11
Germany,413,236,389,235,1273
Ghana,12,6,8,4,30
Greece,41,82,52,35,210
Grenada,1,1,3,1,6
Guatemala,,1,1,2,4
Guyana,1,,,,1
Honduras,,19,1,,20
Hong Kong,22,23,21,24,90
Hungary,16,10,16,9,51
Iceland,4,2,2,1,9
India,546,965,1545,285,3341
Indonesia,22,47,17,71,157
Iran,199,602,319,247,1367
Iraq,37,40,43,26,146
Ireland,43,16,31,15,105
Israel,49,18,49,24,140
Italy,242,262,307,122,933
Jamaica,1,,,,1
Japan,359,569,451,251,1630
Jordan,24,15,16,14,69
Kazakhstan,8,46,40,5,99
Kenya,9,4,2,7,22
Kosovo,,3,2,1,6
Kuwait,9,9,5,8,31
Kyrgyzstan,20,4,,4,28
Laos,,1,,,1
Latvia,,5,1,2,8
Lebanon,11,8,10,3,32
Lesotho,,,1,,1
Libya,3,3,3,1,10
Lithuania,,6,2,2,10
Luxembourg,5,2,1,,8
Macau,3,,5,3,11
Macedonia,,1,,2,3
Madagascar,3,,,,3
Malawi,1,1,,,2
Malaysia,54,125,124,280,583
Maldives,,,1,,1
Mali,1,,,2,3
Malta,67,4,3,27,101
Mauritius,,1,,,1
Mexico,39,19,20,23,101
Moldova,,2,2,1,5
Mongolia,,3,1,1,5
Montenegro,2,4,1,1,8
Morocco,6,20,8,8,42
Mozambique,1,,,1,2
Myanmar (formerly Burma),1,3,1,2,7
Namibia,1,,,,1
Nepal,8,15,5,8,36
Netherlands,122,130,78,103,433
New Zealand,30,9,11,30,80
Niger,1,1,,,2
Nigeria,15,35,11,20,81
North Korea,,1,,2,3
Norway,37,21,32,29,119
Oman,5,7,16,9,37
Pakistan,116,161,244,55,576
Palestine,3,,1,2,6
Panama,,,1,2,3
Papua New Guinea,3,,2,,5
Paraguay,,,,1,1
Peru,7,19,2,1,29
Philippines,15,18,7,12,52
Poland,43,67,43,32,185
Portugal,28,41,32,28,129
Puerto Rico,1,,1,1,3
Qatar,9,14,5,6,34
RÃƒÂ©union Island,,,,4,4
Republic of the Congo (Congo-Brazzaville),3,1,1,,5
Romania,22,74,17,58,171
Russia,433,1924,126,158,2641
Rwanda,,,1,1,2
Samoa,,,2,,2
Saudi Arabia,173,163,292,65,693
Senegal,2,3,,7,12
Serbia,23,78,24,12,137
Sierra Leone,,1,,,1
Singapore,42,58,71,34,205
Slovakia,11,6,11,4,32
Slovenia,8,2,3,5,18
South Africa,49,41,15,36,141
South Korea,230,296,260,182,968
Spain,161,110,192,102,565
Sri Lanka,8,5,2,7,22
Sudan,8,3,10,2,23
Swaziland/Eswatini,1,1,,,2
Sweden,94,43,62,61,260
Switzerland,105,56,72,52,285
Syria,2,2,1,,5
Taiwan,69,100,156,173,498
Tajikistan,,49,,,49
Tanzania,2,,1,3,6
Thailand,37,31,32,63,163
Togo,1,,,1,2
Trinidad and Tobago,2,2,2,1,7
Tunisia,19,53,13,11,96
Turkey,79,167,94,86,426
Turkmenistan,1,,,,1
U,,,2,,2
Uganda,3,2,2,3,10
Ukraine,1,18,4,8,31
United Arab Emirates,16,24,27,12,79
United Kingdom,557,240,285,551,1633
United States,2166,1494,1478,973,6111
Unknown,64,147,211,478,900
Uruguay,1,3,2,,6
Uzbekistan,5,22,1,5,33
Venezuela,3,3,1,10,17
Vietnam,20,21,34,8,83
Yemen,5,3,1,1,10
Zambia,1,,,,1
Zimbabwe,2,1,,1,4
All,13058,14251,12858,16152,56319
